URL,URL_LENGTH,NUMBER_SPECIAL_CHARACTERS,CHARSET,SERVER,CACHE_CONTROL,CONTENT_LENGTH,WHOIS_COUNTRY,WHOIS_STATE_CITY,WHOIS_REG_YEAR,UPDATE_YEAR,DOMAIN_NAME,TCP_CONVERSATION_EXCHANGE,DIST_REMOTE_TCP_PORT,REMOTE_IPS,APP_BYTES,UDP_PACKETS,SOURCE_APP_PACKETS,REMOTE_APP_PACKETS,SOURCE_APP_BYTES,REMOTE_APP_BYTES,APP_PACKETS,DNS_QUERY_TIMES,TIPO
M0_97,21,7,iso-8859-1,nginx,None,686,RU,Novosibirskaya obl.,2013,2016,pokachi.net,6,0,2,603,0,8,9,1580,745,8,2,Maligna
B0_2303,21,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Florida,1999,2015,radudley.com,7,7,3,618,0,7,9,562,618,7,0,Benigna
M0_69,22,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Colorado,2013,2017,roorbong.com,9,0,4,850,0,11,9,1354,994,11,2,Maligna
B0_161,22,6,utf-8,openresty/1.11.2.1,"max-age=0, private, must-revalidate",11260,US,California,1999,2015,project86.com,39,29,6,3833,0,43,42,22495,4125,43,4,Benigna
B0_2122,22,6,iso-8859-1,nginx,None,318,US,Tennessee,2003,2015,edonnelly.com,8,6,6,696,0,8,10,636,696,8,0,Benigna
B0_2176,22,6,iso-8859-1,Apache/2.2.22,None,224,US,California,2008,2016,miramusic.biz,4,3,2,420,0,4,6,372,420,4,0,Benigna
B0_569,22,7,utf-8,Apache/2.4.7 (Ubuntu),no-cache,4421,AU,Victoria,2009,2016,eicon-vic.com,12,0,2,2259,0,16,12,5165,2559,16,4,Benigna
B0_601,22,6,UTF-8,nginx/1.12.0,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,US,Florida,2002,2016,merichina.com,6,0,3,650,0,10,10,1417,950,10,4,Benigna
B0_884,22,6,ISO-8859-1,Apache,None,441,US,Oregon,2005,2017,handvband.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_905,22,6,ISO-8859-1,nginx/1.12.0,None,11260,US,Texas,2005,2016,albanyfcc.org,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_916,22,6,utf-8,nginx,"private, no-store, no-cache, max-age=0",6671,CA,Alberta,2001,2017,mikelaing.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_102,23,6,utf-8,Apache,"post-check=0, pre-check=0",11260,US,Florida,2008,2017,elpasoymca.org,16,3,11,1696,0,18,20,13422,1844,18,2,Benigna
B0_1130,23,6,iso-8859-1,Apache/2.4.12 (Unix) ,None,434,PA,Panama,2006,2015,convertico.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1185,23,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,SE,Goteborg,2000,2016,vietnampix.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1412,23,7,ISO-8859-1,nginx,None,3257,CA,Ontario,2000,2017,uwo.ca,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2217,23,6,ISO-8859-1,Apache/2,no-cache,6748,US,Arizona,1999,2017,country965.com,7,4,5,630,0,7,4,244,630,7,0,Benigna
B0_23,23,6,None,nginx,None,11260,US,Texas,1996,2016,vrbo.com,19,7,6,2404,0,23,20,6179,2684,23,4,Benigna
B0_241,23,6,UTF-8,Microsoft-HTTPAPI/2.0,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,UK,London,2008,2015,primeloops.com,19,14,6,1980,0,23,25,5737,2276,23,4,Benigna
B0_285,23,6,UTF-8,nginx/1.10.0 (Ubuntu),no-cache,11260,US,Wisconsin,1999,2016,webfederal.com,4,0,1,519,0,8,8,1138,823,8,4,Benigna
B0_465,23,6,UTF-8,cloudflare-nginx,must-revalidate,11260,US,Oregon,1997,2014,picosecond.com,10,0,5,1186,0,14,15,1900,1476,14,4,Benigna
B0_599,23,6,ISO-8859-1,nginx/1.12.0,None,11260,IN,Andhra Pradesh,2003,2017,rgaviation.com,43,4,4,5738,0,47,50,56926,6046,47,4,Benigna
B0_614,23,6,iso-8859-1,Apache,None,240,US,California,2008,2016,shakabanga.com,8,0,2,723,0,10,11,1837,871,10,2,Benigna
B0_622,23,6,ISO-8859-1,Apache,None,3985,CA,Ontario,2002,2016,reedatwood.com,40,17,16,3285,0,46,45,12003,3729,46,6,Benigna
B0_790,23,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,CA,Montreal,2005,2016,kimcampbell.ca,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_108,24,6,utf-8,openresty,no-cache,11260,LU,Root Sur Syre,2006,2016,redtube.com,84,54,5,10490,0,96,106,106925,11482,96,12,Benigna
B0_126,24,6,ISO-8859-1,nginx/1.12.0,None,34,US,Virginia,1996,2016,innsofcourt.org,65,3,5,6286,0,69,75,90508,6596,69,4,Benigna
B0_171,24,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,14,6,6,1907,0,18,18,5601,2171,18,4,Benigna
B0_2301,24,6,utf-8,Heptu web server,"no-cache, no-store, private",1778,US,Vermont,1998,2012,itsyourturn.com,7,7,3,618,0,7,9,562,618,7,0,Benigna
B0_2313,24,6,utf-8,Pepyaka/1.11.3,no-cache,11260,US,Florida,2016,2017,royaltymgmt.com,6,3,2,528,0,6,4,244,528,6,0,Benigna
B0_2315,24,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,CA,Quebec,2011,2017,pcrepairmtl.com,6,4,4,564,0,6,8,508,564,6,0,Benigna
B0_282,24,8,iso-8859-1,Apache/2.2.22,None,224,US,California,2009,2017,a-team-band.com,19,2,4,2131,0,23,23,9471,2441,23,4,Benigna
B0_321,24,6,utf-8,nginx/1.8.0,no-cache,11260,CA,Ontario,2002,2016,learnmichif.com,12,2,7,984,0,16,16,1839,1292,16,4,Benigna
B0_483,24,7,utf-8,nginx/1.10.1,"no-cache, no-store",11260,US,California,1995,2017,mahalo.com,16,6,8,2279,0,22,22,2562,2729,22,6,Benigna
B0_543,24,6,iso-8859-1,Apache/2,None,345,US,New Mexico,2007,2016,nmpcrepairs.com,19,5,9,1390,0,21,25,3890,1540,21,2,Benigna
B0_656,24,6,UTF-8,Apache,None,756,PA,Panama,1998,2017,hardbuddies.com,23,3,15,2485,0,27,28,9332,2799,27,4,Benigna
B0_1163,25,6,utf-8,Apache/2.2.29 (Amazon),None,11260,CA,British Columbia,2005,2017,robinmcinnis.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1308,25,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1347,25,6,UTF-8,nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",14839,US,New York,2004,2016,vimeo.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2127,25,6,us-ascii,Microsoft-IIS/7.5,None,324,US,Massachusetts,2008,2017,fadsplymouth.com,5,2,4,474,0,5,4,250,474,5,0,Benigna
B0_2224,25,6,UTF-8,LiteSpeed,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,CA,Ontario,2005,2013,comforttravel.ca,6,5,2,564,0,6,7,442,564,6,0,Benigna
B0_468,25,6,UTF-8,Apache,"no-cache, must-revalidate, max-age=0",11260,US,California,2006,2016,secondoctave.com,12,0,5,1327,0,16,17,14050,1615,16,4,Benigna
B0_577,25,6,UTF-8,Apache/2.2.22 (Debian),no-cache,11260,JP,Tokyo,2017,2017,donferguson.info,18,7,9,1586,0,22,17,1735,1898,22,4,Benigna
B0_704,25,6,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,36,17,9,4737,0,42,35,10343,5173,42,6,Benigna
B0_781,25,6,UTF-8,Apache,None,195,UK,West Midlands,2016,2016,handsomefurs.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_886,25,6,ISO-8859-1,Apache,None,11260,US,California,2009,2016,sodiumbabies.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_15,26,8,utf-8,nginx,None,11260,RU,Saint Petersburg,2000,2017,antalya.ru,9,1,2,878,0,11,12,2242,1018,11,2,Maligna
M0_171,26,7,ISO-8859-1,nginx/1.12.0,None,4166,US,Utah,2008,2016,aintdoinshit.com,24,0,3,2508,0,30,30,21098,2992,30,6,Maligna
M0_68,26,7,ISO-8859-1,Apache/2.4.23 (Unix) ,None,962,UK,London,2000,2016,thcvaporizer.com,9,0,4,842,0,11,12,2101,994,11,2,Maligna
M0_70,26,7,ISO-8859-1,Apache/2.4.23 (Unix) ,None,962,UK,London,2002,2017,thcextractor.com,7,0,2,722,0,11,10,2000,1016,11,4,Maligna
M0_72,26,7,ISO-8859-1,Apache/2.4.23 (Unix) ,None,962,UK,London,2002,2017,potvaporizer.com,7,0,2,722,0,11,9,1913,1036,11,4,Maligna
B0_1125,26,6,utf-8,nginx,"store, no-cache, must-revalidate, post-check=0, pre-check=0",2688,US,Kentucky,1997,2015,overbrookfarm.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1205,26,7,UTF-8,cloudflare-nginx,None,11260,US,Maryland,2000,2017,freewebs.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1321,26,6,UTF-8,nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,CA,Ontario,2002,2017,mandysroyalty.org,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1374,26,6,iso-8859-1,Apache,None,199,PA,Panama,2007,2016,billybushshow.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_159,26,6,UTF-8,Apache/2.4.25 (cPanel) ,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0, public",3548,CA,Quebec,1997,2016,clubchambeaux.com,13,0,1,1378,0,19,19,6226,1856,19,6,Benigna
B0_173,26,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,26,19,5,2727,0,30,19,5765,2991,30,4,Benigna
B0_179,26,6,None,tsa_a,None,0,US,California,2000,2016,twitter.com,43,39,3,6325,0,53,50,32025,7063,53,10,Benigna
B0_2027,26,6,ISO-8859-1,nginx/1.12.0,None,5426,US,New York,2009,2017,fourellemusic.com,9,7,4,702,0,9,10,696,702,9,0,Benigna
B0_2152,26,7,utf-8,Apache/2.2.0 (Fedora),"no-cache, must-revalidate",11260,CA,Montreal,2000,2016,mcgill.ca,11,9,7,882,0,11,9,562,882,11,0,Benigna
B0_2293,26,6,UTF-8,Apache/2.2.15 (CentOS),None,11260,CA,British Columbia,1998,2017,liannaklassen.com,4,3,2,396,0,4,6,482,396,4,0,Benigna
B0_256,26,6,iso-8859-1,Apache/2,None,345,US,Florida,2000,2014,davidgarrison.com,43,0,2,3252,0,47,47,60076,3564,47,4,Benigna
B0_258,26,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,46,12,11,3783,0,50,18,5605,4047,50,4,Benigna
B0_297,26,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,21,8,9,2373,0,25,27,6199,2637,25,4,Benigna
B0_660,26,6,utf-8,cloudflare-nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,US,California,1999,2016,aaanativearts.com,7,0,2,984,0,11,12,1650,1300,11,4,Benigna
B0_793,26,6,ISO-8859-1,nginx/1.12.0,None,11260,US,Colorado,2010,2015,aspenjewelbox.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_859,26,6,us-ascii,Apache/2.2.22 (Debian),None,324,US,Texas,2000,2014,charlesrgreen.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_883,26,6,UTF-8,cloudflare-nginx,"public, max-age=3600",11260,US,Pennsylvania,1994,2017,harpercollins.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_928,26,6,UTF-8,nginx,"no-cache, must-revalidate, max-age=60",11260,US,Wyoming,2010,2017,saaqcarrental.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_982,26,6,utf-8,nginx/1.12.0,no-cache,11260,US,Arizona,2009,2017,wmbstrategies.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_67,27,7,UTF-8,Apache/2.2.22 (Debian),"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",8756,UK,London,2000,2016,trafficgrowth.com,38,0,3,4207,0,44,45,39662,4679,44,6,Maligna
M0_75,27,7,UTF-8,Apache,None,193,US,Pennsylvania,2015,2017,cannabislyric.com,9,0,1,1838,0,11,13,4524,1992,11,2,Maligna
B0_1209,27,8,UTF-8,nginx,None,11260,PA,Panama,2015,2017,fuck-toons.net,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1353,27,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Colorado,2017,2018,kaniehtiiohorn.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2085,27,6,utf-8,openresty/1.11.2.1,"max-age=0, private, must-revalidate",11260,US,TEXAS,2009,2017,timstokesmusic.com,3,3,1,366,0,3,5,306,366,3,0,Benigna
B0_362,27,6,UTF-8,Apache/2.2.15 (CentOS),None,11260,AU,Queensland,2010,2016,reachoutrescue.org,40,13,14,3781,0,46,44,34101,4253,46,6,Benigna
B0_453,27,6,UTF-8,Apache/2.4.25,"no-cache, must-revalidate, max-age=0",7967,US,Ohio,1997,2017,sscoachcompany.com,6,0,4,631,0,8,11,812,787,8,2,Benigna
B0_966,27,7,ISO-8859-1,Apache,None,11506,US,Florida,1996,2015,mobay.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_21,28,9,UTF-8,Apache/2.2.15 (CentOS),None,11260,RU,Moscow,2007,2016,traff1.com,5,0,1,592,0,7,9,1062,732,7,2,Maligna
M0_94,28,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Florida,2004,2014,websalesusa.com,5,0,2,556,0,9,9,1154,860,9,4,Maligna
B0_1038,28,6,ISO-8859-1,Apache/2,"private, no-cache, no-store, must-revalidate",11260,US,California,1997,2016,facebook.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1357,28,7,iso-8859-1,Apache,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,FR,Paris,2008,2016,urbeez.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1413,28,7,ISO-8859-1,cloudflare-nginx,None,11260,NL,Utrecht,1999,2017,filmbug.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_2061,28,7,us-ascii,Apache,None,11260,US,New Hampshire,2004,2016,zenfolio.com,6,4,3,552,0,6,8,612,552,6,0,Benigna
B0_2182,28,7,ISO-8859-1,cloudflare-nginx,None,11260,NL,Utrecht,1999,2017,filmbug.com,8,4,6,696,0,8,10,634,696,8,0,Benigna
B0_2228,28,6,us-ascii,Microsoft-IIS/7.5,None,324,US,Pennsylvania,1996,2015,sovereigncenter.com,5,3,3,474,0,5,6,364,474,5,0,Benigna
B0_229,28,7,utf-8,Apache,"no-cache, must-revalidate",8578,CA,Ontario,1995,2016,mises.org,21,7,5,2830,0,29,25,6137,3400,29,8,Benigna
B0_2309,28,6,UTF-8,Apache,None,10576,IN,Uttar Pardesh,2011,2017,noidalaminators.com,14,9,2,2094,0,14,12,8019,2094,14,0,Benigna
B0_332,28,7,UTF-8,Apache/2.4.25 (Amazon) ,"private, must-revalidate, max-age=0",12846,US,Washington,2000,2016,aboutus.org,17,12,3,2314,0,23,27,21419,2740,23,6,Benigna
B0_438,28,7,UTF-8,GSE,"no-cache, no-store, max-age=0, must-revalidate",6666,US,California,2000,2016,blogspot.com,66,5,11,6311,0,70,64,63634,6633,70,4,Benigna
B0_563,28,6,iso-8859-1,Apache/2.4.23 (Unix) ,None,445,US,Florida,1999,2014,themegcompanies.com,28,5,8,2324,0,30,33,24662,2482,30,2,Benigna
B0_638,28,8,UTF-8,Apache,None,11260,US,Arizona,2009,2017,brleader.com,6,0,3,632,0,8,8,593,776,8,2,Benigna
B0_835,28,6,utf-8,Pepyaka/1.11.3,no-cache,11260,US,New York,1998,2014,villagevanguard.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_96,28,6,utf-8,AmazonS3,no-cache,11260,US,California,1996,2015,myspace.com,26,19,3,2632,0,30,36,27404,2916,30,4,Benigna
B0_981,28,6,UTF-8,nginx,max-age=172800,18438,US,California,2007,2015,bamboosfbayarea.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_106,29,7,ISO-8859-1,Apache,None,7314,US,Maryland,2009,2016,quotidiennokoue.com,34,0,2,2934,0,40,40,34995,3416,40,6,Maligna
M0_74,29,7,us-ascii,Microsoft-HTTPAPI/2.0,None,324,UG,kireka,2002,2017,cannabispicture.com,5,0,2,593,0,7,8,1128,751,7,2,Maligna
B0_1044,29,6,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1051,29,6,None,tsa_a,None,0,US,California,2000,2016,twitter.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1095,29,8,ISO-8859-1,Apache,no-cache,9136,US,California,1995,2016,reunion.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1096,29,6,UTF-8,Apache,private,5019,US,Illinois,2006,2017,folkartbyrebecca.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1117,29,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1154,29,6,iso-8859-1,Apache/2.4.25 (Amazon) ,None,210,US,Missouri,2007,2017,ruskinhighschool.org,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1287,29,6,UTF-8,Apache/2.2.22 (Debian),"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",8654,JP,Osaka,2017,2017,newyorkgaytravel.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1408,29,7,iso-8859-1,Apache/2.2.22 (Ubuntu),None,238,UK,London,1996,2017,ogilvyrenault.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_170,29,6,ISO-8859-1,Apache,None,26856,US,Washington,2003,2017,vangoghartprints.net,26,6,5,2519,0,30,30,22379,2851,30,4,Benigna
B0_2024,29,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Michigan,2015,2016,ronjamesrealtors.com,12,8,6,900,0,12,9,568,900,12,0,Benigna
B0_2089,29,7,UTF-8,Apache/2.2.22,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,CA,Ontario,2004,2016,woofactor.com,709,708,3,2362906,0,709,837,83056,2362906,709,0,Benigna
B0_2123,29,6,UTF-8,Apache,"no-cache, must-revalidate, max-age=0",10210,US,California,2004,2017,fishtankensemble.com,5,4,2,486,0,5,7,542,486,5,0,Benigna
B0_2128,29,6,ISO-8859-1,Apache,None,13684,US,Maryland,2008,2016,timelessholdings.com,15,8,7,1134,0,15,9,605,1134,15,0,Benigna
B0_2166,29,6,us-ascii,Apache/2.2.15 (Red Hat),None,324,CA,Ontario,2003,2016,ottawarivercanoe.com,3,3,1,366,0,3,5,306,366,3,0,Benigna
B0_2242,29,6,iso-8859-1,nginx/1.12.0,None,770,US,South Carolina,2010,2015,cherokeemuseumsc.org,5,3,3,486,0,5,7,436,486,5,0,Benigna
B0_2266,29,8,UTF-8,Apache/2.4.25,"no-cache, must-revalidate, max-age=0",6813,US,Texas,2006,2016,dfwama.com,17,9,10,1249,0,17,15,1062,1249,17,0,Benigna
B0_259,29,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,Arizona,1998,2016,quincyjonesmusic.com,34,9,6,2861,0,38,26,15260,3229,38,4,Benigna
B0_44,29,6,ISO-8859-1,Apache/2.2.29 (Unix),None,34,US,California,1998,2016,scriptperfection.com,10,2,9,612,0,12,14,918,772,12,2,Benigna
B0_448,29,7,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,32,21,8,4561,0,38,36,10429,4997,38,6,Benigna
B0_499,29,8,UTF-8,GSE,"no-cache, no-store, max-age=0, must-revalidate",20404,US,California,2000,2016,blogspot.com,33,6,5,3533,0,37,35,46688,3859,37,4,Benigna
B0_626,29,8,UTF-8,Tengine,None,11260,US,California,1999,2012,alibaba.com,28,0,5,3183,0,36,33,24455,3777,36,8,Benigna
B0_642,29,6,UTF-8,Apache/2.4.18 (Unix) ,"max-age=3, must-revalidate, max-age=172800",7159,US,Arizona,2003,2017,americansteelinc.com,21,6,11,1515,0,23,18,1334,1675,23,2,Benigna
B0_887,29,6,iso-8859-1,Apache,None,388,US,New York,2006,2013,selladeedoftrust.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_894,29,6,ISO-8859-1,Apache/2,None,199,US,Gerogia,1999,2013,us11antiquealley.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_920,29,8,us-ascii,Microsoft-HTTPAPI/2.0,None,324,AU,Queensland,2015,2017,abmp3.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_942,29,6,ISO-8859-1,nginx/1.12.0,None,11260,CA,Ontario,2006,2017,elizabethcparker.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_978,29,6,utf-8,Apache/2.2.29 (Unix),no-cache,11260,US,California,1996,2015,myspace.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1052,30,6,utf-8,Apache/2.4.10 (Debian),"public, max-age=0",11260,SE,Flen,1996,2013,independentliving.org,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1388,30,6,iso-8859-1,Apache/2.4.6 (CentOS) ,None,199,US,Massachusetts,2013,2017,bloggingbeginners.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_160,30,7,utf-8,nginx,must-revalidate,11260,US,New York,1995,2017,wn.com,14,9,3,1918,0,18,17,5546,2182,18,4,Benigna
B0_169,30,6,ISO-8859-1,Apache/2.2.29 (Unix),"private, no-cache, no-store, must-revalidate",11260,US,California,1997,2016,facebook.com,62,52,12,8974,0,76,69,30726,10006,76,14,Benigna
B0_209,30,6,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,22,17,2,3914,0,28,27,9833,4350,28,6,Benigna
B0_2097,30,6,ISO-8859-1,Sun-ONE-Web-Server/6.1,None,11260,US,New Jersey,2003,2016,argentangodancers.com,18,17,5,1188,0,18,19,1451,1188,18,0,Benigna
B0_2206,30,6,None,Apache/2.4.18 (Unix) ,None,11260,US,wisconsin,1996,2016,briggsandstratton.com,6,4,4,552,0,6,9,564,552,6,0,Benigna
B0_2282,30,6,UTF-8,Apache,None,14703,US,Texas,1998,2013,connellybilliards.com,2,2,1,276,0,2,4,250,276,2,0,Benigna
B0_330,30,6,UTF-8,nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",8751,US,Florida,2016,2016,brazzerspornstars.com,15,2,6,1528,0,19,17,5586,1860,19,4,Benigna
B0_348,30,6,us-ascii,Microsoft-HTTPAPI/2.0,None,324,US,New Jersey,1999,2016,weichertfinancial.com,90,6,14,8646,0,92,100,95659,8808,92,2,Benigna
B0_369,30,7,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,31,26,2,4412,0,37,37,27412,4848,37,6,Benigna
B0_560,30,6,utf-8,Apache/2.2.29 (Unix),no-cache,11260,US,California,1996,2015,myspace.com,31,23,3,3605,0,39,41,34388,4183,39,8,Benigna
B0_639,30,6,ISO-8859-1,Apache/2.2.29 (Unix),"private, no-cache, no-store, must-revalidate",11260,US,California,1997,2016,facebook.com,76,47,12,9007,0,88,44,23985,9891,88,12,Benigna
B0_711,30,7,utf-8,AmazonS3,None,350,US,Arizona,2001,2015,fanbase.com,23,1,10,1902,0,27,26,2764,2194,27,4,Benigna
B0_73,30,7,ISO-8859-1,Apache/1.3.37 (Unix),None,11260,US,New York,1996,2017,airnav.com,48,3,6,3418,0,52,48,57377,3706,52,4,Benigna
B0_824,30,8,UTF-8,cloudflare-nginx,"no-store, no-cache, must-revalidate, post-check=0, pre-check=0",11260,US,California,2004,2016,wowcity.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_891,30,6,utf-8,Apache/2.2.29 (Unix),no-cache,11260,US,California,1996,2015,myspace.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_931,30,7,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
M0_73,31,7,us-ascii,Microsoft-IIS/7.5,None,324,US,California,2002,2017,portablevaporizer.com,7,0,2,707,0,11,11,1018,1031,11,4,Maligna
B0_1028,31,8,utf-8,ATS,None,604,US,California,1995,2015,yahoo.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1127,31,7,ISO-8859-1,Apache,no-store,11260,US,California,1997,2017,mylife.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_1241,31,8,utf-8,Apache,"private, must-revalidate, s-maxage=0, max-age=0",65815,US,New York,1996,2016,answers.com,0,0,0,0,0,0,0,0,0,0,0,Benigna
B0_140,31,6,ISO-8859-1,Apache/2.2.29 (Unix),"private, no-cache, no-store, must-revalidate",11260,US,California,1997,2016,facebook.com,65,53,14,8568,0,77,70,26049,9452,77,12,Benigna
B0_2158,31,6,UTF-8,Apache/2.2.29 (Unix),"no-cache, must-revalidate, max-age=0",11260,US,Nevada,2000,2017,golfmesquitenevada.com,9,3,7,738,0,9,12,766,738,9,0,Benigna
